# Spanish source<TAB>English display. Literal \n means a line break.
Inicio	Home
El movimiento al agua fue cancelado.	Movement to the water was canceled.
El puntero no quedó sobre el punto del agua. Lanzamiento cancelado.	The pointer is not at the water point. Cast canceled.
Otra ventana cubre el punto del agua. Lanzamiento cancelado.	Another window covers the water point. Cast canceled.
Una tecla sigue pendiente de liberación.	A key release is still pending.
Los saltos de espera están desactivados.	Idle jumps are disabled.
Una entrada sigue pendiente de liberación.	An input release is still pending.
Retroceso	Backspace
Windows aceptó tecla 	Windows accepted key 
Tecla simulada 	Simulated key 
 abajo	 down
 arriba	 up
 · respuesta del juego sin verificar	 · game response unverified
Clic de compra fuera de los botones autorizados.	Purchase click outside the authorized buttons.
Hay una entrada pendiente de liberación.	An input release is pending.
Moviendo con desplazamientos relativos hacia 	Moving with relative movements towards 
El movimiento al botón no terminó; clic cancelado.	Movement to the button did not finish; click canceled.
El puntero no llegó al botón o se movió. Clic cancelado; suelta el ratón durante la prueba.	Pointer did not reach the button or moved. Click canceled; leave the mouse alone during the test.
El clic quedó sobre otra ventana: 	The click landed over another window: 
. Despeja el diálogo de Roblox y repite la prueba.	. Uncover the Roblox dialog and run the test again.
Marca el centro de los botones, con margen dentro de Roblox.	Mark the center of each button, with room inside Roblox.
La compra automática está desactivada.	Automatic purchases are disabled.
No se pudo liberar la tecla anterior.	Could not release the previous key.
Prueba sin zona de pesca configurada	Test without a fishing area set up
 en 	 at 
